Date1,Cases_Local,Cases_Import,Total Cases,Date,State
01-Jun,7105,2,7107,01-Jun,Malaysia
02-Jun,7703,2,7705,02-Jun,Malaysia
03-Jun,8209,64,8273,03-Jun,Malaysia
04-Jun,7748,2,7750,04-Jun,Malaysia
05-Jun,7452,8,7460,05-Jun,Malaysia
06-Jun,6241,14,6255,06-Jun,Malaysia
07-Jun,5271,14,5285,07-Jun,Malaysia
08-Jun,5566,4,5570,08-Jun,Malaysia
09-Jun,6239,11,6250,09-Jun,Malaysia
10-Jun,5671,8,5679,10-Jun,Malaysia
11-Jun,6849,4,6853,11-Jun,Malaysia
12-Jun,5793,6,5799,12-Jun,Malaysia
13-Jun,5304,5,5309,13-Jun,Malaysia
14-Jun,4949,6,4955,14-Jun,Malaysia
15-Jun,5419,6,5425,15-Jun,Malaysia
16-Jun,5150,3,5153,16-Jun,Malaysia
17-Jun,5738,3,5741,17-Jun,Malaysia
18-Jun,6440,5,6445,18-Jun,Malaysia
19-Jun,5911,1,5912,19-Jun,Malaysia
20-Jun,5293,7,5300,20-Jun,Malaysia
21-Jun,4611,8,4619,21-Jun,Malaysia
22-Jun,4743,2,4745,22-Jun,Malaysia
23-Jun,5244,7,5251,23-Jun,Malaysia
24-Jun,5841,8,5849,24-Jun,Malaysia
25-Jun,5812,32,5844,25-Jun,Malaysia
26-Jun,5803,10,5813,26-Jun,Malaysia
27-Jun,5586,3,5589,27-Jun,Malaysia
28-Jun,5218,7,5225,28-Jun,Malaysia
29-Jun,6437,14,6451,29-Jun,Malaysia
30-Jun,6276,16,6292,30-Jun,Malaysia
01-Jul,6988,5,6993,01-Jul,Malaysia
02-Jul,6982,3,6985,02-Jul,Malaysia
03-Jul,6658,11,6669,03-Jul,Malaysia
04-Jul,6045,20,6065,04-Jul,Malaysia
05-Jul,6387,26,6413,05-Jul,Malaysia
06-Jul,7654,11,7665,06-Jul,Malaysia
07-Jul,7097,26,7123,07-Jul,Malaysia
08-Jul,8868,10,8878,08-Jul,Malaysia
09-Jul,9180,7,9187,09-Jul,Malaysia
10-Jul,9353,11,9364,10-Jul,Malaysia
11-Jul,9105,18,9123,11-Jul,Malaysia
12-Jul,8574,40,8614,12-Jul,Malaysia
13-Jul,11079,27,11106,13-Jul,Malaysia
14-Jul,11618,26,11644,14-Jul,Malaysia
15-Jul,13215,13,13228,15-Jul,Malaysia
16-Jul,12541,16,12557,16-Jul,Malaysia
17-Jul,12528,19,12547,17-Jul,Malaysia
18-Jul,10710,12,10722,18-Jul,Malaysia
19-Jul,10972,48,11020,19-Jul,Malaysia
20-Jul,12366,8,12374,20-Jul,Malaysia
21-Jul,11985,7,11992,21-Jul,Malaysia
22-Jul,13034,25,13059,22-Jul,Malaysia
23-Jul,15573,32,15605,23-Jul,Malaysia
24-Jul,15902,26,15928,24-Jul,Malaysia
25-Jul,17045,6,17051,25-Jul,Malaysia
26-Jul,14516,3,14519,26-Jul,Malaysia
27-Jul,16117,26,16143,27-Jul,Malaysia
28-Jul,17405,6,17411,28-Jul,Malaysia
29-Jul,17170,32,17202,29-Jul,Malaysia
30-Jul,16840,17,16857,30-Jul,Malaysia
31-Jul,17786,9,17795,31-Jul,Malaysia
01-Aug,17150,1,17151,01-Aug,Malaysia
02-Aug,15764,6,15770,02-Aug,Malaysia
03-Aug,17105,37,17142,03-Aug,Malaysia
04-Aug,19819,23,19842,04-Aug,Malaysia
05-Aug,20596,34,20630,05-Aug,Malaysia
06-Aug,20889,13,20902,06-Aug,Malaysia
07-Aug,19257,16,19273,07-Aug,Malaysia
08-Aug,18688,10,18698,08-Aug,Malaysia
09-Aug,17236,29,17265,09-Aug,Malaysia
10-Aug,19991,0,19991,10-Aug,Malaysia
11-Aug,20780,15,20795,11-Aug,Malaysia
12-Aug,21668,58,21726,12-Aug,Malaysia
13-Aug,21468,25,21493,13-Aug,Malaysia
14-Aug,20670,8,20678,14-Aug,Malaysia
15-Aug,20546,14,20560,15-Aug,Malaysia
16-Aug,19740,19,19759,16-Aug,Malaysia
17-Aug,19631,7,19638,17-Aug,Malaysia
18-Aug,22242,4,22246,18-Aug,Malaysia
19-Aug,22948,9,22957,19-Aug,Malaysia
20-Aug,23564,23,23587,20-Aug,Malaysia
21-Aug,22262,40,22302,21-Aug,Malaysia
22-Aug,19807,5,19812,22-Aug,Malaysia
23-Aug,17672,8,17680,23-Aug,Malaysia
24-Aug,20837,22,20859,24-Aug,Malaysia
25-Aug,22642,5,22647,25-Aug,Malaysia
26-Aug,24599,8,24607,26-Aug,Malaysia
27-Aug,22070,15,22085,27-Aug,Malaysia
28-Aug,22597,12,22609,28-Aug,Malaysia
29-Aug,20579,7,20586,29-Aug,Malaysia
30-Aug,19268,16,19284,30-Aug,Malaysia
31-Aug,20897,1,20898,31-Aug,Malaysia