Date1,State,beds_icu_covid,icu_covid,icu_usage,vent_covid,vent,vent_usage,Date
2021-06-01,Johor,114,158,138.6,98,134,73.13,01-Jun
2021-06-01,Kedah,73,74,101.37,47,112,41.96,02-Jun
2021-06-01,Kelantan,56,47,83.93,26,124,20.97,03-Jun
2021-06-01,Melaka,70,60,85.71,10,59,16.95,04-Jun
2021-06-01,Negeri Sembilan,44,94,213.64,44,56,78.57,05-Jun
2021-06-01,Pahang,53,30,56.6,18,65,27.69,06-Jun
2021-06-01,Perak,67,60,89.55,35,98,35.71,07-Jun
2021-06-01,Perlis,8,8,100,6,16,37.5,08-Jun
2021-06-01,Pulau Pinang,41,38,92.68,20,35,57.14,09-Jun
2021-06-01,Sabah,85,68,80,26,111,23.42,10-Jun
2021-06-01,Sarawak,106,103,97.17,36,140,25.71,11-Jun
2021-06-01,Selangor,244,282,115.57,166,275,60.36,12-Jun
2021-06-01,Terengganu,26,17,65.38,6,41,14.63,13-Jun
2021-06-01,W.P. Kuala Lumpur,121,123,101.65,73,143,51.05,14-Jun
2021-06-01,W.P. Labuan,11,10,90.91,10,14,71.43,15-Jun
2021-06-01,W.P. Putrajaya,8,9,112.5,3,28,10.71,16-Jun
2021-06-02,Johor,114,154,135.09,93,134,69.4,17-Jun
2021-06-02,Kedah,73,76,104.11,46,105,43.81,18-Jun
2021-06-02,Kelantan,56,50,89.29,25,124,20.16,19-Jun
2021-06-02,Melaka,70,71,101.43,12,59,20.34,20-Jun
2021-06-02,Negeri Sembilan,44,94,213.64,47,56,83.93,21-Jun
2021-06-02,Pahang,53,29,54.72,18,65,27.69,22-Jun
2021-06-02,Perak,67,59,88.06,42,98,42.86,23-Jun
2021-06-02,Perlis,8,7,87.5,6,16,37.5,24-Jun
2021-06-02,Pulau Pinang,41,38,92.68,22,35,62.86,25-Jun
2021-06-02,Sabah,85,74,87.06,24,111,21.62,26-Jun
2021-06-02,Sarawak,106,99,93.4,40,140,28.57,27-Jun
2021-06-02,Selangor,244,283,115.98,166,275,60.36,28-Jun
2021-06-02,Terengganu,26,18,69.23,13,41,31.71,29-Jun
2021-06-02,W.P. Kuala Lumpur,119,135,113.45,71,143,49.65,30-Jun
2021-06-02,W.P. Labuan,11,8,72.73,8,14,57.14,01-Jul
2021-06-02,W.P. Putrajaya,8,7,87.5,4,28,14.29,02-Jul
2021-06-03,Johor,114,149,130.7,95,134,70.9,03-Jul
2021-06-03,Kedah,73,71,97.26,46,105,43.81,04-Jul
2021-06-03,Kelantan,56,46,82.14,25,124,20.16,05-Jul
2021-06-03,Melaka,70,70,100,13,59,22.03,06-Jul
2021-06-03,Negeri Sembilan,44,75,170.45,46,56,82.14,07-Jul
2021-06-03,Pahang,53,30,56.6,15,65,23.08,08-Jul
2021-06-03,Perak,67,55,82.09,43,98,43.88,09-Jul
2021-06-03,Perlis,8,8,100,5,16,31.25,10-Jul
2021-06-03,Pulau Pinang,41,38,92.68,20,35,57.14,11-Jul
2021-06-03,Sabah,85,77,90.59,21,111,18.92,12-Jul
2021-06-03,Sarawak,106,102,96.23,38,140,27.14,13-Jul
2021-06-03,Selangor,244,288,118.03,102,275,37.09,14-Jul
2021-06-03,Terengganu,26,19,73.08,14,41,34.15,15-Jul
2021-06-03,W.P. Kuala Lumpur,119,129,108.4,77,143,53.85,16-Jul
2021-06-03,W.P. Labuan,11,12,109.09,8,14,57.14,17-Jul
2021-06-03,W.P. Putrajaya,8,7,87.5,3,28,10.71,18-Jul
2021-06-04,Johor,114,139,121.93,95,134,70.9,19-Jul
2021-06-04,Kedah,73,63,86.3,43,105,40.95,20-Jul
2021-06-04,Kelantan,56,39,69.64,23,124,18.55,21-Jul
2021-06-04,Melaka,70,73,104.29,13,59,22.03,22-Jul
2021-06-04,Negeri Sembilan,44,79,179.55,46,56,82.14,23-Jul
2021-06-04,Pahang,53,31,58.49,14,65,21.54,24-Jul
2021-06-04,Perak,67,56,83.58,42,98,42.86,25-Jul
2021-06-04,Perlis,8,8,100,5,16,31.25,26-Jul
2021-06-04,Pulau Pinang,43,38,88.37,21,35,60,27-Jul
2021-06-04,Sabah,85,83,97.65,25,111,22.52,28-Jul
2021-06-04,Sarawak,106,105,99.06,37,140,26.43,29-Jul
2021-06-04,Selangor,244,272,111.48,160,275,58.18,30-Jul
2021-06-04,Terengganu,26,20,76.92,13,41,31.71,31-Jul
2021-06-04,W.P. Kuala Lumpur,119,127,106.72,82,143,57.34,01-Aug
2021-06-04,W.P. Labuan,11,14,127.27,9,14,64.29,02-Aug
2021-06-04,W.P. Putrajaya,8,7,87.5,4,28,14.29,03-Aug
2021-06-05,Johor,114,142,124.56,89,134,66.42,04-Aug
2021-06-05,Kedah,73,67,91.78,46,105,43.81,05-Aug
2021-06-05,Kelantan,56,35,62.5,18,124,14.52,06-Aug
2021-06-05,Melaka,70,58,82.86,14,59,23.73,07-Aug
2021-06-05,Negeri Sembilan,44,84,190.91,45,56,80.36,08-Aug
2021-06-05,Pahang,53,28,52.83,15,65,23.08,09-Aug
2021-06-05,Perak,67,55,82.09,39,98,39.8,10-Aug
2021-06-05,Perlis,8,8,100,5,16,31.25,11-Aug
2021-06-05,Pulau Pinang,43,34,79.07,23,35,65.71,12-Aug
2021-06-05,Sabah,85,88,103.53,24,111,21.62,13-Aug
2021-06-05,Sarawak,106,105,99.06,34,140,24.29,14-Aug
2021-06-05,Selangor,250,279,111.6,176,275,64,15-Aug
2021-06-05,Terengganu,26,25,96.15,17,41,41.46,16-Aug
2021-06-05,W.P. Kuala Lumpur,119,125,105.04,81,143,56.64,17-Aug
2021-06-05,W.P. Labuan,11,15,136.36,9,14,64.29,18-Aug
2021-06-05,W.P. Putrajaya,8,7,87.5,5,28,17.86,19-Aug
2021-06-06,Johor,114,142,124.56,89,134,66.42,20-Aug
2021-06-06,Kedah,73,71,97.26,38,105,36.19,21-Aug
2021-06-06,Kelantan,56,37,66.07,21,124,16.94,22-Aug
2021-06-06,Melaka,70,69,98.57,14,59,23.73,23-Aug
2021-06-06,Negeri Sembilan,59,86,145.76,51,52,98.08,24-Aug
2021-06-06,Pahang,53,28,52.83,14,65,21.54,25-Aug
2021-06-06,Perak,67,59,88.06,40,98,40.82,26-Aug
2021-06-06,Perlis,8,6,75,5,16,31.25,27-Aug
2021-06-06,Pulau Pinang,43,37,86.05,24,33,72.73,28-Aug
2021-06-06,Sabah,85,98,115.29,29,111,26.13,29-Aug
2021-06-06,Sarawak,106,104,98.11,35,140,25,30-Aug
2021-06-06,Selangor,250,288,115.2,170,275,61.82,31-Aug
2021-06-06,Terengganu,26,19,73.08,6,41,14.63,
2021-06-06,W.P. Kuala Lumpur,119,122,102.52,82,143,57.34,
2021-06-06,W.P. Labuan,11,15,136.36,9,14,64.29,
2021-06-06,W.P. Putrajaya,8,7,87.5,5,28,17.86,
2021-06-07,Johor,114,145,127.19,99,134,73.88,
2021-06-07,Kedah,73,69,94.52,36,105,34.29,
2021-06-07,Kelantan,56,42,75,21,124,16.94,
2021-06-07,Melaka,70,62,88.57,14,59,23.73,
2021-06-07,Negeri Sembilan,59,79,133.9,51,52,98.08,
2021-06-07,Pahang,53,29,54.72,16,65,24.62,
2021-06-07,Perak,67,50,74.63,34,98,34.69,
2021-06-07,Perlis,8,7,87.5,6,16,37.5,
2021-06-07,Pulau Pinang,43,39,90.7,26,33,78.79,
2021-06-07,Sabah,85,96,112.94,32,111,28.83,
2021-06-07,Sarawak,106,98,92.45,28,140,20,
2021-06-07,Selangor,250,293,117.2,183,275,66.55,
2021-06-07,Terengganu,26,21,80.77,10,41,24.39,
2021-06-07,W.P. Kuala Lumpur,119,122,102.52,77,143,53.85,
2021-06-07,W.P. Labuan,11,15,136.36,9,14,64.29,
2021-06-07,W.P. Putrajaya,8,8,100,5,28,17.86,
2021-06-08,Johor,114,126,110.53,91,134,67.91,
2021-06-08,Kedah,73,66,90.41,34,105,32.38,
2021-06-08,Kelantan,56,37,66.07,19,124,15.32,
2021-06-08,Melaka,70,63,90,15,59,25.42,
2021-06-08,Negeri Sembilan,59,63,106.78,50,52,96.15,
2021-06-08,Pahang,53,28,52.83,16,65,24.62,
2021-06-08,Perak,71,54,76.06,33,93,35.48,
2021-06-08,Perlis,8,7,87.5,6,16,37.5,
2021-06-08,Pulau Pinang,43,36,83.72,23,33,69.7,
2021-06-08,Sabah,85,97,114.12,34,111,30.63,
2021-06-08,Sarawak,106,102,96.23,29,140,20.71,
2021-06-08,Selangor,250,309,123.6,180,275,65.45,
2021-06-08,Terengganu,26,20,76.92,10,41,24.39,
2021-06-08,W.P. Kuala Lumpur,119,123,103.36,79,143,55.24,
2021-06-08,W.P. Labuan,11,16,145.45,9,14,64.29,
2021-06-08,W.P. Putrajaya,8,8,100,6,28,21.43,
2021-06-09,Johor,114,124,108.77,88,134,65.67,
2021-06-09,Kedah,73,60,82.19,33,105,31.43,
2021-06-09,Kelantan,56,33,58.93,17,124,13.71,
2021-06-09,Melaka,70,59,84.29,17,59,28.81,
2021-06-09,Negeri Sembilan,59,67,113.56,49,52,94.23,
2021-06-09,Pahang,53,27,50.94,12,65,18.46,
2021-06-09,Perak,71,52,73.24,28,93,30.11,
2021-06-09,Perlis,8,7,87.5,7,16,43.75,
2021-06-09,Pulau Pinang,43,34,79.07,18,33,54.55,
2021-06-09,Sabah,107,103,96.26,34,101,33.66,
2021-06-09,Sarawak,106,99,93.4,34,140,24.29,
2021-06-09,Selangor,250,316,126.4,184,275,66.91,
2021-06-09,Terengganu,26,20,76.92,14,41,34.15,
2021-06-09,W.P. Kuala Lumpur,127,128,100.79,80,143,55.94,
2021-06-09,W.P. Labuan,11,17,154.55,11,14,78.57,
2021-06-09,W.P. Putrajaya,8,8,100,6,28,21.43,
2021-06-10,Johor,114,118,103.51,90,134,67.16,
2021-06-10,Kedah,73,58,79.45,30,105,28.57,
2021-06-10,Kelantan,56,33,58.93,18,124,14.52,
2021-06-10,Melaka,70,55,78.57,14,59,23.73,
2021-06-10,Negeri Sembilan,59,79,133.9,58,52,111.54,
2021-06-10,Pahang,53,26,49.06,9,65,13.85,
2021-06-10,Perak,71,50,70.42,26,93,27.96,
2021-06-10,Perlis,8,8,100,7,16,43.75,
2021-06-10,Pulau Pinang,45,37,82.22,17,33,51.52,
2021-06-10,Sabah,107,95,88.79,36,101,35.64,
2021-06-10,Sarawak,106,98,92.45,33,140,23.57,
2021-06-10,Selangor,250,308,123.2,179,275,65.09,
2021-06-10,Terengganu,26,18,69.23,14,41,34.15,
2021-06-10,W.P. Kuala Lumpur,127,118,92.91,78,143,54.55,
2021-06-10,W.P. Labuan,18,17,94.44,12,10,120,
2021-06-10,W.P. Putrajaya,8,8,100,6,28,21.43,
2021-06-11,Johor,114,123,107.89,84,134,62.69,
2021-06-11,Kedah,73,55,75.34,21,105,20,
2021-06-11,Kelantan,56,32,57.14,17,124,13.71,
2021-06-11,Melaka,70,53,75.71,15,59,25.42,
2021-06-11,Negeri Sembilan,59,88,149.15,62,52,119.23,
2021-06-11,Pahang,53,20,37.74,6,65,9.23,
2021-06-11,Perak,71,49,69.01,22,93,23.66,
2021-06-11,Perlis,8,7,87.5,6,16,37.5,
2021-06-11,Pulau Pinang,45,37,82.22,20,33,60.61,
2021-06-11,Sabah,107,96,89.72,37,101,36.63,
2021-06-11,Sarawak,106,102,96.23,33,140,23.57,
2021-06-11,Selangor,250,313,125.2,175,275,63.64,
2021-06-11,Terengganu,26,18,69.23,16,41,39.02,
2021-06-11,W.P. Kuala Lumpur,127,132,103.94,76,143,53.15,
2021-06-11,W.P. Labuan,18,17,94.44,9,10,90,
2021-06-11,W.P. Putrajaya,8,7,87.5,6,28,21.43,
2021-06-12,Johor,114,124,108.77,85,134,63.43,
2021-06-12,Kedah,73,56,76.71,26,105,24.76,
2021-06-12,Kelantan,56,32,57.14,19,124,15.32,
2021-06-12,Melaka,70,49,70,16,59,27.12,
2021-06-12,Negeri Sembilan,59,79,133.9,60,52,115.38,
2021-06-12,Pahang,53,25,47.17,8,65,12.31,
2021-06-12,Perak,71,46,64.79,18,93,19.35,
2021-06-12,Perlis,8,8,100,6,16,37.5,
2021-06-12,Pulau Pinang,45,38,84.44,20,33,60.61,
2021-06-12,Sabah,107,98,91.59,39,101,38.61,
2021-06-12,Sarawak,106,104,98.11,32,140,22.86,
2021-06-12,Selangor,253,307,121.34,174,287,60.63,
2021-06-12,Terengganu,26,17,65.38,11,41,26.83,
2021-06-12,W.P. Kuala Lumpur,127,124,97.64,73,143,51.05,
2021-06-12,W.P. Labuan,18,18,100,10,10,100,
2021-06-12,W.P. Putrajaya,8,8,100,6,28,21.43,
2021-06-13,Johor,114,120,105.26,82,134,61.19,
2021-06-13,Kedah,73,55,75.34,29,105,27.62,
2021-06-13,Kelantan,56,36,64.29,16,124,12.9,
2021-06-13,Melaka,70,67,95.71,15,59,25.42,
2021-06-13,Negeri Sembilan,59,80,135.59,55,52,105.77,
2021-06-13,Pahang,53,23,43.4,8,65,12.31,
2021-06-13,Perak,71,41,57.75,15,93,16.13,
2021-06-13,Perlis,8,7,87.5,6,16,37.5,
2021-06-13,Pulau Pinang,45,39,86.67,21,33,63.64,
2021-06-13,Sabah,107,101,94.39,41,101,40.59,
2021-06-13,Sarawak,106,110,103.77,32,140,22.86,
2021-06-13,Selangor,253,308,121.74,180,287,62.72,
2021-06-13,Terengganu,26,15,57.69,11,41,26.83,
2021-06-13,W.P. Kuala Lumpur,127,128,100.79,68,143,47.55,
2021-06-13,W.P. Labuan,18,13,72.22,6,10,60,
2021-06-13,W.P. Putrajaya,8,7,87.5,6,28,21.43,
2021-06-14,Johor,114,127,111.4,89,134,66.42,
2021-06-14,Kedah,73,50,68.49,29,105,27.62,
2021-06-14,Kelantan,56,34,60.71,18,124,14.52,
2021-06-14,Melaka,70,58,82.86,17,59,28.81,
2021-06-14,Negeri Sembilan,59,75,127.12,56,52,107.69,
2021-06-14,Pahang,53,25,47.17,9,65,13.85,
2021-06-14,Perak,71,34,47.89,16,93,17.2,
2021-06-14,Perlis,8,7,87.5,6,16,37.5,
2021-06-14,Pulau Pinang,45,41,91.11,22,33,66.67,
2021-06-14,Sabah,107,97,90.65,40,101,39.6,
2021-06-14,Sarawak,106,103,97.17,31,140,22.14,
2021-06-14,Selangor,253,316,124.9,202,287,70.38,
2021-06-14,Terengganu,26,13,50,10,41,24.39,
2021-06-14,W.P. Kuala Lumpur,127,128,100.79,69,143,48.25,
2021-06-14,W.P. Labuan,18,15,83.33,7,11,63.64,
2021-06-14,W.P. Putrajaya,8,7,87.5,6,28,21.43,
2021-06-15,Johor,114,122,107.02,93,134,69.4,
2021-06-15,Kedah,73,45,61.64,24,105,22.86,
2021-06-15,Kelantan,56,37,66.07,18,124,14.52,
2021-06-15,Melaka,70,55,78.57,19,59,32.2,
2021-06-15,Negeri Sembilan,61,74,121.31,56,48,116.67,
2021-06-15,Pahang,53,26,49.06,7,65,10.77,
2021-06-15,Perak,71,26,36.62,13,93,13.98,
2021-06-15,Perlis,8,8,100,6,16,37.5,
2021-06-15,Pulau Pinang,45,37,82.22,23,33,69.7,
2021-06-15,Sabah,107,100,93.46,41,101,40.59,
2021-06-15,Sarawak,106,105,99.06,29,140,20.71,
2021-06-15,Selangor,253,314,124.11,179,287,62.37,
2021-06-15,Terengganu,26,14,53.85,9,41,21.95,
2021-06-15,W.P. Kuala Lumpur,127,128,100.79,28,143,19.58,
2021-06-15,W.P. Labuan,18,14,77.78,6,11,54.55,
2021-06-15,W.P. Putrajaya,8,8,100,6,28,21.43,
2021-06-16,Johor,114,124,108.77,91,134,67.91,
2021-06-16,Kedah,73,48,65.75,27,105,25.71,
2021-06-16,Kelantan,56,35,62.5,21,124,16.94,
2021-06-16,Melaka,70,65,92.86,21,59,35.59,
2021-06-16,Negeri Sembilan,61,91,149.18,61,48,127.08,
2021-06-16,Pahang,48,22,45.83,8,66,12.12,
2021-06-16,Perak,71,30,42.25,16,93,17.2,
2021-06-16,Perlis,8,8,100,6,16,37.5,
2021-06-16,Pulau Pinang,45,35,77.78,23,33,69.7,
2021-06-16,Sabah,107,92,85.98,38,101,37.62,
2021-06-16,Sarawak,106,106,100,27,140,19.29,
2021-06-16,Selangor,253,326,128.85,188,287,65.51,
2021-06-16,Terengganu,26,14,53.85,9,41,21.95,
2021-06-16,W.P. Kuala Lumpur,127,122,96.06,66,143,46.15,
2021-06-16,W.P. Labuan,18,16,88.89,8,11,72.73,
2021-06-16,W.P. Putrajaya,8,7,87.5,5,28,17.86,
2021-06-17,Johor,114,114,100,89,134,66.42,
2021-06-17,Kedah,73,46,63.01,26,105,24.76,
2021-06-17,Kelantan,56,33,58.93,23,113,20.35,
2021-06-17,Melaka,70,56,80,15,59,25.42,
2021-06-17,Negeri Sembilan,61,92,150.82,64,48,133.33,
2021-06-17,Pahang,48,28,58.33,8,66,12.12,
2021-06-17,Perak,71,27,38.03,15,93,16.13,
2021-06-17,Perlis,8,6,75,6,16,37.5,
2021-06-17,Pulau Pinang,47,36,76.6,24,33,72.73,
2021-06-17,Sabah,107,92,85.98,35,101,34.65,
2021-06-17,Sarawak,106,107,100.94,30,140,21.43,
2021-06-17,Selangor,253,325,128.46,187,287,65.16,
2021-06-17,Terengganu,26,14,53.85,10,41,24.39,
2021-06-17,W.P. Kuala Lumpur,127,119,93.7,67,143,46.85,
2021-06-17,W.P. Labuan,18,17,94.44,10,11,90.91,
2021-06-17,W.P. Putrajaya,8,7,87.5,5,28,17.86,
2021-06-18,Johor,114,126,110.53,88,134,65.67,
2021-06-18,Kedah,73,42,57.53,21,105,20,
2021-06-18,Kelantan,56,33,58.93,22,113,19.47,
2021-06-18,Melaka,70,66,94.29,15,59,25.42,
2021-06-18,Negeri Sembilan,55,96,174.55,66,49,134.69,
2021-06-18,Pahang,48,26,54.17,6,66,9.09,
2021-06-18,Perak,71,27,38.03,16,93,17.2,
2021-06-18,Perlis,8,6,75,6,16,37.5,
2021-06-18,Pulau Pinang,47,33,70.21,21,33,63.64,
2021-06-18,Sabah,107,82,76.64,26,101,25.74,
2021-06-18,Sarawak,106,99,93.4,28,140,20,
2021-06-18,Selangor,253,331,130.83,193,287,67.25,
2021-06-18,Terengganu,26,13,50,10,41,24.39,
2021-06-18,W.P. Kuala Lumpur,127,125,98.43,75,143,52.45,
2021-06-18,W.P. Labuan,18,13,72.22,5,11,45.45,
2021-06-18,W.P. Putrajaya,8,7,87.5,6,28,21.43,
2021-06-19,Johor,114,123,107.89,86,134,64.18,
2021-06-19,Kedah,73,52,71.23,26,105,24.76,
2021-06-19,Kelantan,56,31,55.36,20,113,17.7,
2021-06-19,Melaka,70,63,90,14,59,23.73,
2021-06-19,Negeri Sembilan,55,95,172.73,63,49,128.57,
2021-06-19,Pahang,48,25,52.08,7,66,10.61,
2021-06-19,Perak,71,23,32.39,16,93,17.2,
2021-06-19,Perlis,8,5,62.5,5,16,31.25,
2021-06-19,Pulau Pinang,47,34,72.34,12,33,36.36,
2021-06-19,Sabah,107,74,69.16,28,101,27.72,
2021-06-19,Sarawak,106,96,90.57,28,140,20,
2021-06-19,Selangor,253,325,128.46,182,287,63.41,
2021-06-19,Terengganu,26,13,50,9,41,21.95,
2021-06-19,W.P. Kuala Lumpur,127,123,96.85,68,143,47.55,
2021-06-19,W.P. Labuan,18,16,88.89,8,11,72.73,
2021-06-19,W.P. Putrajaya,8,7,87.5,5,28,17.86,
2021-06-20,Johor,114,121,106.14,84,134,62.69,
2021-06-20,Kedah,73,52,71.23,26,105,24.76,
2021-06-20,Kelantan,56,29,51.79,18,113,15.93,
2021-06-20,Melaka,70,72,102.86,15,59,25.42,
2021-06-20,Negeri Sembilan,55,89,161.82,62,49,126.53,
2021-06-20,Pahang,48,23,47.92,7,66,10.61,
2021-06-20,Perak,71,20,28.17,14,93,15.05,
2021-06-20,Perlis,8,5,62.5,5,16,31.25,
2021-06-20,Pulau Pinang,47,31,65.96,17,33,51.52,
2021-06-20,Sabah,107,71,66.36,24,101,23.76,
2021-06-20,Sarawak,106,92,86.79,28,140,20,
2021-06-20,Selangor,253,323,127.67,192,287,66.9,
2021-06-20,Terengganu,26,10,38.46,6,41,14.63,
2021-06-20,W.P. Kuala Lumpur,127,126,99.21,73,143,51.05,
2021-06-20,W.P. Labuan,18,16,88.89,8,11,72.73,
2021-06-20,W.P. Putrajaya,8,8,100,6,28,21.43,
2021-06-21,Johor,114,123,107.89,88,134,65.67,
2021-06-21,Kedah,73,54,73.97,31,105,29.52,
2021-06-21,Kelantan,56,32,57.14,21,113,18.58,
2021-06-21,Melaka,70,73,104.29,14,59,23.73,
2021-06-21,Negeri Sembilan,55,87,158.18,60,49,122.45,
2021-06-21,Pahang,48,25,52.08,8,66,12.12,
2021-06-21,Perak,71,22,30.99,14,93,15.05,
2021-06-21,Perlis,8,5,62.5,5,16,31.25,
2021-06-21,Pulau Pinang,47,28,59.57,18,33,54.55,
2021-06-21,Sabah,107,66,61.68,20,101,19.8,
2021-06-21,Sarawak,106,94,88.68,29,140,20.71,
2021-06-21,Selangor,253,318,125.69,203,287,70.73,
2021-06-21,Terengganu,26,10,38.46,6,41,14.63,
2021-06-21,W.P. Kuala Lumpur,127,124,97.64,74,143,51.75,
2021-06-21,W.P. Labuan,18,16,88.89,8,11,72.73,
2021-06-21,W.P. Putrajaya,8,8,100,6,28,21.43,
2021-06-22,Johor,114,109,95.61,81,134,60.45,
2021-06-22,Kedah,73,58,79.45,38,105,36.19,
2021-06-22,Kelantan,56,33,58.93,22,113,19.47,
2021-06-22,Melaka,70,67,95.71,17,59,28.81,
2021-06-22,Negeri Sembilan,55,122,221.82,52,49,106.12,
2021-06-22,Pahang,48,23,47.92,8,66,12.12,
2021-06-22,Perak,71,21,29.58,13,93,13.98,
2021-06-22,Perlis,8,5,62.5,5,16,31.25,
2021-06-22,Pulau Pinang,47,27,57.45,17,33,51.52,
2021-06-22,Sabah,107,69,64.49,20,101,19.8,
2021-06-22,Sarawak,106,92,86.79,30,140,21.43,
2021-06-22,Selangor,253,332,131.23,202,287,70.38,
2021-06-22,Terengganu,26,9,34.62,6,41,14.63,
2021-06-22,W.P. Kuala Lumpur,132,126,95.45,75,163,46.01,
2021-06-22,W.P. Labuan,18,17,94.44,8,11,72.73,
2021-06-22,W.P. Putrajaya,8,6,75,5,28,17.86,
2021-06-23,Johor,114,123,107.89,77,134,57.46,
2021-06-23,Kedah,73,59,80.82,39,105,37.14,
2021-06-23,Kelantan,56,33,58.93,22,113,19.47,
2021-06-23,Melaka,70,73,104.29,14,59,23.73,
2021-06-23,Negeri Sembilan,55,88,160,49,49,100,
